code,x,y,pattern,iteration
0000011,0001000,-1.5,3.8125,0,2
0000011,0001001,-1.4375,3.8125,0,2
00000100,00010001,-1.46875,3.875,0,2
00000101,00010000,-1.5,3.84375,0,2
00000101,00010001,-1.46875,3.84375,0,2
00000100,00010011,-1.40625,3.875,0,2
00000101,00010010,-1.4375,3.84375,0,2
00000101,00010011,-1.40625,3.84375,0,2
00000110,00010001,-1.46875,3.8125,0,2
00000111,00010000,-1.5,3.78125,0,2
00000111,00010001,-1.46875,3.78125,0,2
00000110,00010011,-1.40625,3.8125,0,2
00000111,00010010,-1.4375,3.78125,0,2
00000111,00010011,-1.40625,3.78125,0,2
0000010,0001011,-1.3125,3.875,0,2
0000011,0001010,-1.375,3.8125,0,2
0000011,0001011,-1.3125,3.8125,0,2
00000100,00010101,-1.34375,3.875,0,2
00000101,00010100,-1.375,3.84375,0,2
00000101,00010101,-1.34375,3.84375,0,2
00000100,00010111,-1.28125,3.875,0,2
00000101,00010110,-1.3125,3.84375,0,2
00000101,00010111,-1.28125,3.84375,0,2
00000110,00010101,-1.34375,3.8125,0,2
00000111,00010100,-1.375,3.78125,0,2
00000111,00010101,-1.34375,3.78125,0,2
00000110,00010111,-1.28125,3.8125,0,2
00000111,00010110,-1.3125,3.78125,0,2
00000111,00010111,-1.28125,3.78125,0,2
000000,000111,-1.125,4,0,2
000001,000110,-1.25,3.875,0,2
000001,000111,-1.125,3.875,0,2
0000000,0001101,-1.1875,4,0,2
0000001,0001100,-1.25,3.9375,0,2
0000001,0001101,-1.1875,3.9375,0,2
00000000,00011001,-1.21875,4,0,2
00000001,00011000,-1.25,3.96875,0,2
00000001,00011001,-1.21875,3.96875,0,2
00000000,00011011,-1.15625,4,0,2
00000001,00011010,-1.1875,3.96875,0,2
00000001,00011011,-1.15625,3.96875,0,2
00000010,00011001,-1.21875,3.9375,0,2
00000011,00011000,-1.25,3.90625,0,2
00000011,00011001,-1.21875,3.90625,0,2
00000010,00011011,-1.15625,3.9375,0,2
00000011,00011010,-1.1875,3.90625,0,2
00000011,00011011,-1.15625,3.90625,0,2
0000000,0001111,-1.0625,4,0,2
0000001,0001110,-1.125,3.9375,0,2
0000001,0001111,-1.0625,3.9375,0,2
00000000,00011101,-1.09375,4,0,2
00000001,00011100,-1.125,3.96875,0,2
00000001,00011101,-1.09375,3.96875,0,2
00000000,00011111,-1.03125,4,0,2
00000001,00011110,-1.0625,3.96875,0,2
00000001,00011111,-1.03125,3.96875,0,2
00000010,00011101,-1.09375,3.9375,0,2
00000011,00011100,-1.125,3.90625,0,2
00000011,00011101,-1.09375,3.90625,0,2
00000010,00011111,-1.03125,3.9375,0,2
00000011,00011110,-1.0625,3.90625,0,2
00000011,00011111,-1.03125,3.90625,0,2
0000010,0001101,-1.1875,3.875,0,2
0000011,0001100,-1.25,3.8125,0,2
0000011,0001101,-1.1875,3.8125,0,2
00000100,00011001,-1.21875,3.875,0,2
00000101,00011000,-1.25,3.84375,0,2
00000101,00011001,-1.21875,3.84375,0,2
00000100,00011011,-1.15625,3.875,0,2
00000101,00011010,-1.1875,3.84375,0,2
00000101,00011011,-1.15625,3.84375,0,2
00000110,00011001,-1.21875,3.8125,0,2
00000111,00011000,-1.25,3.78125,0,2
00000111,00011001,-1.21875,3.78125,0,2
00000110,00011011,-1.15625,3.8125,0,2
00000111,00011010,-1.1875,3.78125,0,2
00000111,00011011,-1.15625,3.78125,0,2
0000010,0001111,-1.0625,3.875,0,2
0000011,0001110,-1.125,3.8125,0,2
0000011,0001111,-1.0625,3.8125,0,2
00000100,00011101,-1.09375,3.875,0,2
00000101,00011100,-1.125,3.84375,0,2
00000101,00011101,-1.09375,3.84375,0,2
00000100,00011111,-1.03125,3.875,0,2
00000101,00011110,-1.0625,3.84375,0,2
00000101,00011111,-1.03125,3.84375,0,2
00000110,00011101,-1.09375,3.8125,0,2
00000111,00011100,-1.125,3.78125,0,2
00000111,00011101,-1.09375,3.78125,0,2
00000110,00011111,-1.03125,3.8125,0,2
00000111,00011110,-1.0625,3.78125,0,2
00000111,00011111,-1.03125,3.78125,0,2
000010,000101,-1.375,3.75,0,2
000011,000100,-1.5,3.625,0,2
000011,000101,-1.375,3.625,0,2
0000100,0001001,-1.4375,3.75,0,2
0000101,0001000,-1.5,3.6875,0,2
0000101,0001001,-1.4375,3.6875,0,2
00001000,00010001,-1.46875,3.75,0,2
00001001,00010000,-1.5,3.71875,0,2
00001001,00010001,-1.46875,3.71875,0,2
00001000,00010011,-1.40625,3.75,0,2
00001001,00010010,-1.4375,3.71875,0,2
00001001,00010011,-1.40625,3.71875,0,2
00001010,00010001,-1.46875,3.6875,0,2
00001011,00010000,-1.5,3.65625,0,2
00001011,00010001,-1.46875,3.65625,0,2
00001010,00010011,-1.40625,3.6875,0,2
00001011,00010010,-1.4375,3.65625,0,2
00001011,00010011,-1.40625,3.65625,0,2
0000100,0001011,-1.3125,3.75,0,2
0000101,0001010,-1.375,3.6875,0,2
0000101,0001011,-1.3125,3.6875,0,2
00001000,00010101,-1.34375,3.75,0,2
00001001,00010100,-1.375,3.71875,0,2
00001001,00010101,-1.34375,3.71875,0,2
00001000,00010111,-1.28125,3.75,0,2
00001001,00010110,-1.3125,3.71875,0,2
00001001,00010111,-1.28125,3.71875,0,2
00001010,00010101,-1.34375,3.6875,0,2
00001011,00010100,-1.375,3.65625,0,2
00001011,00010101,-1.34375,3.65625,0,2
00001010,00010111,-1.28125,3.6875,0,2
00001011,00010110,-1.3125,3.65625,0,2
00001011,00010111,-1.28125,3.65625,0,2
0000110,0001001,-1.4375,3.625,0,2
0000111,0001000,-1.5,3.5625,0,2
0000111,0001001,-1.4375,3.5625,0,2
00001100,00010001,-1.46875,3.625,0,2
00001101,00010000,-1.5,3.59375,0,2
00001101,00010001,-1.46875,3.59375,0,2
00001100,00010011,-1.40625,3.625,0,2
00001101,00010010,-1.4375,3.59375,0,2
00001101,00010011,-1.40625,3.59375,0,2
00001110,00010001,-1.46875,3.5625,0,2
00001111,00010000,-1.5,3.53125,0,2
00001111,00010001,-1.46875,3.53125,0,2
00001110,00010011,-1.40625,3.5625,0,2
00001111,00010010,-1.4375,3.53125,0,2
00001111,00010011,-1.40625,3.53125,0,2
0000110,0001011,-1.3125,3.625,0,2
0000111,0001010,-1.375,3.5625,0,2
0000111,0001011,-1.3125,3.5625,0,2
00001100,00010101,-1.34375,3.625,0,2
00001101,00010100,-1.375,3.59375,0,2
00001101,00010101,-1.34375,3.59375,0,2
00001100,00010111,-1.28125,3.625,0,2
00001101,00010110,-1.3125,3.59375,0,2
00001101,00010111,-1.28125,3.59375,0,2
00001110,00010101,-1.34375,3.5625,0,2
00001111,00010100,-1.375,3.53125,0,2
00001111,00010101,-1.34375,3.53125,0,2
00001110,00010111,-1.28125,3.5625,0,2
00001111,00010110,-1.3125,3.53125,0,2
00001111,00010111,-1.28125,3.53125,0,2
000010,000111,-1.125,3.75,0,2
000011,000110,-1.25,3.625,0,2
000011,000111,-1.125,3.625,0,2
0000100,0001101,-1.1875,3.75,0,2
0000101,0001100,-1.25,3.6875,0,2
0000101,0001101,-1.1875,3.6875,0,2
00001000,00011001,-1.21875,3.75,0,2
00001001,00011000,-1.25,3.71875,0,2
00001001,00011001,-1.21875,3.71875,0,2
00001000,00011011,-1.15625,3.75,0,2
00001001,00011010,-1.1875,3.71875,0,2
00001001,00011011,-1.15625,3.71875,0,2
00001010,00011001,-1.21875,3.6875,0,2
00001011,00011000,-1.25,3.65625,0,2
00001011,00011001,-1.21875,3.65625,0,2
00001010,00011011,-1.15625,3.6875,0,2
00001011,00011010,-1.1875,3.65625,0,2
00001011,00011011,-1.15625,3.65625,0,2
0000100,0001111,-1.0625,3.75,0,2
0000101,0001110,-1.125,3.6875,0,2
0000101,0001111,-1.0625,3.6875,0,2
00001000,00011101,-1.09375,3.75,0,2
00001001,00011100,-1.125,3.71875,0,2
00001001,00011101,-1.09375,3.71875,0,2
00001000,00011111,-1.03125,3.75,0,2
00001001,00011110,-1.0625,3.71875,0,2
00001001,00011111,-1.03125,3.71875,0,2
00001010,00011101,-1.09375,3.6875,0,2
00001011,00011100,-1.125,3.65625,0,2
00001011,00011101,-1.09375,3.65625,0,2
00001010,00011111,-1.03125,3.6875,0,2
00001011,00011110,-1.0625,3.65625,0,2
00001011,00011111,-1.03125,3.65625,0,2
0000110,0001101,-1.1875,3.625,0,2
0000111,0001100,-1.25,3.5625,0,2
0000111,0001101,-1.1875,3.5625,0,2
00001100,00011001,-1.21875,3.625,0,2
00001101,00011000,-1.25,3.59375,0,2
00001101,00011001,-1.21875,3.59375,0,2
00001100,00011011,-1.15625,3.625,0,2
00001101,00011010,-1.1875,3.59375,0,2
00001101,00011011,-1.15625,3.59375,0,2
00001110,00011001,-1.21875,3.5625,0,2
00001111,00011000,-1.25,3.53125,0,2
00001111,00011001,-1.21875,3.53125,0,2
00001110,00011011,-1.15625,3.5625,0,2
00001111,00011010,-1.1875,3.53125,0,2
00001111,00011011,-1.15625,3.53125,0,2
0000110,0001111,-1.0625,3.625,0,2
0000111,0001110,-1.125,3.5625,0,2
0000111,0001111,-1.0625,3.5625,0,2
00001100,00011101,-1.09375,3.625,0,2
